Model,RMSE_mean_old,RMSE_std_old,MAE_mean_old,MAE_std_old,RMSE_fold_1,RMSE_fold_2,RMSE_fold_3,RMSE_fold_4,RMSE_fold_5,MAE_fold_1,MAE_fold_2,MAE_fold_3,MAE_fold_4,MAE_fold_5,RMSE_mean_v2,RMSE_std_v2,MAE_mean_v2,MAE_std_v2,RMSE_mean_delta_v2_minus_old,MAE_mean_delta_v2_minus_old
XGBoost,5.424685492305209,0.0264264814359521,3.6733416080474854,0.0119946210503472,5.409872263812391,5.426218716896567,5.399659124847677,5.468452140325922,5.419225215643488,3.659075975418091,3.6799769401550297,3.6621389389038086,3.686301231384278,3.6792149543762207,5.32234732958794,0.029669647296420337,3.580644464492798,0.014195819801822235,-0.10233816271726948,-0.0926971435546875
LightGBM,5.437633114913234,0.0265223377869327,3.702521013914831,0.0102461609555591,5.4203317416839045,5.446867412830804,5.4077513959617205,5.476808442872066,5.436406581217674,3.690514808389445,3.712342345491123,3.69239408699627,3.707975892543247,3.709377936154072,5.33902839339679,0.03186128311821994,3.612327980475038,0.015289210073886913,-0.09860472151644473,-0.0901930334397929
Decision Tree,5.9034610505411536,0.0267117644840464,3.9938046678933103,0.017607155969393,5.871660103795683,5.9257877361223255,5.880573122706172,5.931823677486754,5.907460612594835,3.9661204392668896,4.007068870705213,3.9862722510490247,4.004779998497026,4.0047817799484,5.8132418254122085,0.02614213028908955,3.9197358787082934,0.009039869536235067,-0.09021922512894509,-0.07406878918501691
