Model,RMSE,MAE
XGBoost,5.296675146603063,3.566190004348755
LightGBM,5.311142055358429,3.5946104900076237
MLP,5.688753096650164,3.889282461824516
Decision Tree,5.802099835377535,3.9133310485017705
Dummy,11.633978791532687,8.809426506501204
