version,xgb_rmse,xgb_mae,top20_mean_abs_error,top20_max_abs_error,older_building_rmse_age100plus,older_building_mae_age100plus
old,5.409871911244234,3.65907621383667,43.67129259109497,66.12541389465332,6.479538329361894,4.600822448730469
v2,5.296675146603063,3.566190004348755,42.56352977752685,59.751869201660156,6.451042670614258,4.590810775756836
