Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,RMSE_fold_1,RMSE_fold_2,RMSE_fold_3,RMSE_fold_4,RMSE_fold_5,MAE_fold_1,MAE_fold_2,MAE_fold_3,MAE_fold_4,MAE_fold_5
XGBoost,5.424685492305209,0.02642648143595219,3.6733416080474854,0.011994621050347208,5.409872263812391,5.426218716896567,5.399659124847677,5.468452140325922,5.419225215643488,3.659075975418091,3.6799769401550293,3.6621389389038086,3.6863012313842773,3.6792149543762207
LightGBM,5.437633114913234,0.02652233778693279,3.7025210139148315,0.01024616095555918,5.4203317416839045,5.446867412830804,5.4077513959617205,5.476808442872066,5.436406581217674,3.690514808389445,3.712342345491123,3.69239408699627,3.707975892543247,3.709377936154072
Decision Tree,5.9034610505411536,0.026711764484046448,3.9938046678933103,0.01760715596939305,5.871660103795683,5.9257877361223255,5.880573122706172,5.931823677486754,5.907460612594835,3.9661204392668896,4.007068870705213,3.9862722510490247,4.004779998497026,4.0047817799484
