Year Group,n,RMSE,MAE
Pre-1919,12467,6.527192091763747,4.706094741821289
1919–1944,8280,5.418258120201446,3.7762959003448486
1945–1974,13799,4.933030822001856,3.1633622646331787
1975–2000,8930,4.895063147600258,3.375563144683838
2001+,9818,4.175198149404648,2.6810853481292725
