Model,RMSE,MAE
XGBoost,5.409871911244234,3.65907621383667
LightGBM,5.417678039402745,3.6835134409637793
Decision Tree,5.871660103795683,3.96612043926689
Dummy,11.633978791532687,8.809426506501204
