Model,RMSE_mean_5fold,RMSE_std_5fold,MAE_mean_5fold,MAE_std_5fold,RMSE_mean_10fold,RMSE_std_10fold,MAE_mean_10fold,MAE_std_10fold,RMSE_mean_delta_10fold_minus_5fold,MAE_mean_delta_10fold_minus_5fold
XGBoost,5.32234732958794,0.0296696472964203,3.580644464492798,0.0141958198018222,5.309307697094029,0.031242266664116246,3.568700098991394,0.0152823901180005,-0.013039632493910602,-0.011944365501403986
LightGBM,5.33902839339679,0.0318612831182199,3.612327980475038,0.0152892100738869,5.325486207166156,0.03808400273601969,3.6006710038573067,0.01948999116509847,-0.013542186230633746,-0.011656976617731463
MLP,5.74175466119147,0.0364770685100304,3.930180606928603,0.0287932419059853,5.716027869216509,0.05730588476675717,3.9158185871145497,0.03737100948149772,-0.02572679197496086,-0.014362019814053273
Decision Tree,5.8132418254122085,0.0261421302890895,3.9197358787082934,0.009039869536235,5.783529842489179,0.0378343738956411,3.894202745050079,0.021269323056539596,-0.0297119829230299,-0.025533133658214524
Dummy,11.645285517016069,0.0460156549069636,8.801336993545311,0.0335954803087058,11.645114208813412,0.08232003924562892,8.801361956645277,0.038172068142666694,-0.00017130820265620628,2.496309996580237e-05
