Model,RMSE_old,MAE_old,RMSE_v2,MAE_v2,RMSE_delta_v2_minus_old,MAE_delta_v2_minus_old
XGBoost,5.409871911244234,3.65907621383667,5.296675146603063,3.566190004348755,-0.11319676464117112,-0.09288620948791504
LightGBM,5.417678039402745,3.6835134409637793,5.311142055358429,3.5946104900076237,-0.10653598404431541,-0.08890295095615564
Decision Tree,5.871660103795683,3.96612043926689,5.802099835377535,3.9133310485017705,-0.06956026841814733,-0.05278939076511957
Dummy,11.633978791532687,8.809426506501204,11.633978791532687,8.809426506501204,0.0,0.0
