Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,RMSE_fold_1,RMSE_fold_2,RMSE_fold_3,RMSE_fold_4,RMSE_fold_5,RMSE_fold_6,RMSE_fold_7,RMSE_fold_8,RMSE_fold_9,RMSE_fold_10,MAE_fold_1,MAE_fold_2,MAE_fold_3,MAE_fold_4,MAE_fold_5,MAE_fold_6,MAE_fold_7,MAE_fold_8,MAE_fold_9,MAE_fold_10
XGBoost,5.309307697094029,0.031242266664116246,3.568700098991394,0.0152823901180005,5.2473861000090665,5.326696478450331,5.278117317298009,5.341011818169034,5.29918950919343,5.293149465030746,5.342249966501927,5.343408049411867,5.316095728498093,5.3057725383777905,3.543250560760498,3.5646655559539795,3.550396680831909,3.595062494277954,3.5627756118774414,3.5674052238464355,3.5702171325683594,3.5773284435272217,3.585803985595703,3.5700953006744385
LightGBM,5.325486207166156,0.03808400273601969,3.6006710038573067,0.01948999116509847,5.252460322014573,5.346417837250962,5.313038647158541,5.366723447781067,5.292304861659105,5.311474292130613,5.36106427063801,5.36257895080612,5.351655821236356,5.297143620986209,3.5666144454353876,3.6012818191611515,3.582566891664829,3.63396430221229,3.5927969112574782,3.597658449327537,3.6139780091756832,3.608733167828063,3.620032894987001,3.5890831475236493
MLP,5.716027869216509,0.05730588476675717,3.9158185871145497,0.03737100948149772,5.597321865873701,5.768824121789305,5.690984178650827,5.743943003025904,5.70085496477588,5.661112617256286,5.777997175165749,5.757320852947646,5.762846767469405,5.69907314521039,3.8623485831349695,3.930644216320349,3.947685001792869,3.937291246805136,3.878694469738858,3.870300860406297,3.9579439463429877,3.9530198678901916,3.9360195313644515,3.884238147349385
Decision Tree,5.783529842489179,0.0378343738956411,3.894202745050079,0.021269323056539596,5.701939350748396,5.829608792612914,5.764879829680338,5.814052939810872,5.749714057582585,5.78377951841565,5.794440323943008,5.816766787361324,5.803671843081226,5.7764449816554775,3.8536231610230285,3.908424108167247,3.872133769237607,3.9172313916872126,3.8739156479543144,3.88922072879085,3.899038026310663,3.9128419268123245,3.9115562023759454,3.9040424881415907
Dummy,11.645114208813412,0.08232003924562892,8.801361956645277,0.038172068142666694,11.565792939149476,11.701814308692155,11.776145540434776,11.528972627195449,11.546546018161228,11.621523787983357,11.714352146474873,11.710849088139053,11.66925968414357,11.615885947760171,8.819561475536807,8.798327523256473,8.848182928174563,8.770804198823042,8.737672514171212,8.766041035122297,8.84741295162795,8.841666442402405,8.806505768282188,8.77744472905581
