Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,RMSE_fold_1,RMSE_fold_2,RMSE_fold_3,RMSE_fold_4,RMSE_fold_5,MAE_fold_1,MAE_fold_2,MAE_fold_3,MAE_fold_4,MAE_fold_5
XGBoost,5.32234732958794,0.029669647296420337,3.580644464492798,0.014195819801822235,5.296675146603063,5.322414884661639,5.299548169435853,5.370744484382805,5.322353962856343,3.566189765930176,3.5838029384613037,3.566352367401123,3.598707675933838,3.588169574737549
LightGBM,5.33902839339679,0.03186128311821994,3.612327980475038,0.015289210073886913,5.305547854812086,5.355096180619129,5.310100589169779,5.381831600087225,5.342565742295731,3.5928195790203086,3.621128286371171,3.598990094216092,3.6265884741109615,3.622113468656656
MLP,5.74175466119147,0.03647706851003041,3.930180606928603,0.02879324190598536,5.717160003023804,5.729412416169458,5.701746177257971,5.778795083942552,5.781659625563565,3.896004579557012,3.937283771269933,3.905156566705499,3.963795467012402,3.9486626500981714
Decision Tree,5.8132418254122085,0.02614213028908955,3.9197358787082934,0.009039869536235067,5.802099835377535,5.822248319727871,5.776914923344956,5.847787416015068,5.817158632595612,3.9133310485017705,3.9196008791008006,3.9084818696426957,3.9279718068566276,3.929293789439573
Dummy,11.645285517016069,0.046015654906963674,8.801336993545311,0.03359548030870586,11.633978791532686,11.653203008512648,11.584102204161319,11.712579136798913,11.642564444074782,8.809426506501204,8.80963095396564,8.751268840928363,8.843735609059511,8.792623057271841
